ID,raw_event_ID,start_time,end_time,player_ID,team_ID,action,half,successful,pos_x,pos_y
20200722-NJ-CHI-153,20200722-NJ-CHI-1290,28:33,28:53,Katie Johnson Carreon,CHI,recovery,1st half,null,41.5,56.5
20200722-NJ-CHI-154,20200722-NJ-CHI-1294,28:38,28:58,Kailen Mary Sheridan,NJ,recovery,1st half,null,25.6,18.9
20200722-NJ-CHI-155,20200722-NJ-CHI-1326,29:44,30:04,Paige Monaghan,NJ,challenge,1st half,0,93.5,1.9
20200722-NJ-CHI-156,20200722-NJ-CHI-1327,29:44,30:04,Zoey Goralski,CHI,challenge,1st half,1,11.5,66.1
20200722-NJ-CHI-157,20200722-NJ-CHI-1328,29:44,30:04,Paige Monaghan,NJ,take_on,1st half,0,93.5,1.9
20200722-NJ-CHI-158,20200722-NJ-CHI-1330,29:44,30:04,Zoey Goralski,CHI,tackle,1st half,1,11.5,66.1
20200722-NJ-CHI-159,20200722-NJ-CHI-1338,29:51,30:11,Sarah Gorden,CHI,recovery,1st half,null,1.0,59.0
20200722-NJ-CHI-160,20200722-NJ-CHI-1354,30:42,31:02,Erica Skroski,NJ,challenge,1st half,0,91.4,45.7
20200722-NJ-CHI-161,20200722-NJ-CHI-1355,30:42,31:02,Savannah McCaskill,CHI,challenge,1st half,1,13.6,22.3
20200722-NJ-CHI-162,20200722-NJ-CHI-1357,30:43,31:03,Erica Skroski,NJ,foul,1st half,null,90.7,44.5
20200722-NJ-CHI-163,20200722-NJ-CHI-1362,33:53,34:13,Gina Loren Lewandowski,NJ,challenge,1st half,1,33.5,42.1
20200722-NJ-CHI-164,20200722-NJ-CHI-1363,33:53,34:13,Rachel Hill,CHI,challenge,1st half,0,71.5,25.9
20200722-NJ-CHI-165,20200722-NJ-CHI-1364,33:54,34:14,Kealia Mae Watt,CHI,recovery,1st half,null,72.0,22.0
20200722-NJ-CHI-166,20200722-NJ-CHI-1398,34:39,34:59,Bianca St. Georges,CHI,recovery,1st half,null,39.2,14.2
20200722-NJ-CHI-167,20200722-NJ-CHI-1401,34:41,35:01,McCall RaNae Zerboni,NJ,recovery,1st half,null,55.0,30.3
20200722-NJ-CHI-168,20200722-NJ-CHI-1414,34:55,35:15,Margaret Purce,NJ,challenge,1st half,0,90.6,3.4
20200722-NJ-CHI-169,20200722-NJ-CHI-1416,34:55,35:15,Zoey Goralski,CHI,challenge,1st half,1,14.4,64.6
20200722-NJ-CHI-170,20200722-NJ-CHI-1417,34:55,35:15,Margaret Purce,NJ,take_on,1st half,0,90.6,3.4
20200722-NJ-CHI-171,20200722-NJ-CHI-1418,34:55,35:15,Zoey Goralski,CHI,tackle,1st half,1,14.4,64.6
20200722-NJ-CHI-172,20200722-NJ-CHI-1426,35:06,35:26,Gina Loren Lewandowski,NJ,challenge,1st half,1,62.9,10.8
20200722-NJ-CHI-173,20200722-NJ-CHI-1428,35:06,35:26,Rachel Hill,CHI,challenge,1st half,0,42.1,57.2
20200722-NJ-CHI-174,20200722-NJ-CHI-1433,35:12,35:32,Zoey Goralski,CHI,tackle,1st half,0,22.6,65.8
20200722-NJ-CHI-175,20200722-NJ-CHI-1434,35:12,35:32,Jennifer Cudjoe,NJ,take_on,1st half,1,82.4,2.2
20200722-NJ-CHI-176,20200722-NJ-CHI-1435,35:12,35:32,Zoey Goralski,CHI,challenge,1st half,0,22.6,65.8
20200722-NJ-CHI-177,20200722-NJ-CHI-1442,35:16,35:36,Ifeoma Chukwufumnay Onumonu,NJ,challenge,1st half,0,94.0,31.5
20200722-NJ-CHI-178,20200722-NJ-CHI-1445,35:16,35:36,Julie Beth Ertz,CHI,challenge,1st half,1,11.0,36.5
20200722-NJ-CHI-179,20200722-NJ-CHI-1447,35:17,35:37,Sarah Gorden,CHI,recovery,1st half,null,9.9,43.9
20200722-NJ-CHI-180,20200722-NJ-CHI-1493,36:25,36:45,Ifeoma Chukwufumnay Onumonu,NJ,challenge,1st half,0,83.7,42.5
20200722-NJ-CHI-181,20200722-NJ-CHI-1494,36:25,36:45,Danielle Colaprico,CHI,challenge,1st half,1,21.3,25.5
20200722-NJ-CHI-182,20200722-NJ-CHI-1497,36:25,36:45,Ifeoma Chukwufumnay Onumonu,NJ,foul,1st half,null,83.1,42.9
