ID,start_time,end_time,player_ID,team_ID,action,half,pos_x,pos_y
20180915-RGN-POR-216,5:23,5:43,Lindsey Michelle Horan,POR,Positional attacks,1st half,62.2,67.0
20180915-RGN-POR-217,5:25,5:45,Lindsey Michelle Horan,POR,Passes accurate,1st half,55.7,67.5
20180915-RGN-POR-218,5:25,5:45,Lindsey Michelle Horan,POR,Positional attacks,1st half,55.7,67.5
20180915-RGN-POR-219,5:27,5:47,Meghan Elizabeth Klingenberg,POR,Positional attacks,1st half,41.8,67.0
20180915-RGN-POR-220,5:28,5:48,Meghan Elizabeth Klingenberg,POR,Positional attacks,1st half,37.8,65.8
20180915-RGN-POR-221,5:28,5:48,Meghan Elizabeth Klingenberg,POR,Passes accurate,1st half,37.8,65.8
20180915-RGN-POR-222,5:31,5:51,Adrianna Nichole Franch,POR,Positional attacks,1st half,9.0,40.2
20180915-RGN-POR-223,5:33,5:53,Adrianna Nichole Franch,POR,Positional attacks,1st half,10.1,36.4
20180915-RGN-POR-224,5:33,5:53,Adrianna Nichole Franch,POR,Passes accurate,1st half,10.1,36.4
20180915-RGN-POR-225,5:35,5:55,Margaret Purce,POR,Bad ball control,1st half,44.9,15.3
20180915-RGN-POR-226,5:35,5:55,Margaret Purce,POR,Positional attacks,1st half,44.9,15.3
20180915-RGN-POR-227,6:00,6:20,Stephanie-Elise Catley,RGN,Passes accurate,1st half,35.9,68.0
20180915-RGN-POR-228,6:01,6:21,Jessica Anne Fishlock,RGN,Passes (inaccurate),1st half,47.9,63.2
20180915-RGN-POR-229,6:02,6:22,Margaret Purce,POR,Interceptions,1st half,60.7,3.6
20180915-RGN-POR-230,6:02,6:22,Margaret Purce,POR,Interceptions (in opp. half),1st half,60.7,3.6
20180915-RGN-POR-231,6:05,6:25,Megan Anna Rapinoe,RGN,Positional attacks,1st half,50.4,68.0
20180915-RGN-POR-232,6:05,6:25,Megan Anna Rapinoe,RGN,Passes (inaccurate),1st half,50.4,68.0
20180915-RGN-POR-233,6:06,6:26,Emily Ann Sonnett,POR,Interceptions,1st half,32.3,10.5
20180915-RGN-POR-234,6:06,6:26,Emily Ann Sonnett,POR,Positional attacks,1st half,32.3,10.5
20180915-RGN-POR-235,6:06,6:26,Emily Ann Sonnett,POR,Positional attacks,1st half,32.3,10.5
20180915-RGN-POR-236,6:06,6:26,Emily Ann Sonnett,POR,Passes (inaccurate),1st half,32.3,10.5
20180915-RGN-POR-237,6:08,6:28,Rumi Utsugi,RGN,Positional attacks,1st half,50.4,54.8
20180915-RGN-POR-238,6:08,6:28,Rumi Utsugi,RGN,Picking-ups,1st half,50.4,54.8
20180915-RGN-POR-239,6:08,6:28,Rumi Utsugi,RGN,Positional attacks,1st half,50.4,54.8
20180915-RGN-POR-240,6:08,6:28,Rumi Utsugi,RGN,Passes accurate,1st half,50.4,54.8
20180915-RGN-POR-241,6:11,6:31,Emily Townsend Menges,POR,Air challenges (won),1st half,26.5,31.8
20180915-RGN-POR-242,6:11,6:31,Emily Townsend Menges,POR,Challenges (won),1st half,26.5,31.8
20180915-RGN-POR-243,6:11,6:31,Jasmyne Spencer,RGN,Challenges (lost),1st half,78.5,36.2
