,raw_event_ID,start_time,end_time,player_ID,team,action,half,pos_x,pos_y,successful
302,1711,44:52,45:12,8,OL Reign,challenge,1st half,22.5,53.6,1
303,1713,44:53,45:13,228,OL Reign,recovery,1st half,29.6,54.6,null
304,1714,44:55,45:15,74,Portland Thorns,challenge,1st half,73.7,18.7,1
305,1715,44:55,45:15,74,Portland Thorns,tackle,1st half,73.7,18.7,1
306,1717,44:55,45:15,228,OL Reign,challenge,1st half,31.3,49.3,0
307,1718,44:56,45:16,74,Portland Thorns,dribble,1st half,75.4,19.9,1
308,1726,45:02,45:22,190,Portland Thorns,recovery,1st half,89.5,5.7,null
309,1727,45:02,45:22,190,Portland Thorns,dribble,1st half,89.0,4.5,1
310,1735,45:36,45:56,219,OL Reign,challenge,1st half,17.4,1.4,0
311,1737,45:36,45:56,89,Portland Thorns,challenge,1st half,87.6,66.6,1
312,1743,45:39,45:59,74,Portland Thorns,challenge,1st half,92.4,57.0,0
313,1745,45:39,45:59,219,OL Reign,challenge,1st half,12.6,11.0,1
314,1746,45:39,45:59,219,OL Reign,tackle,1st half,12.6,11.0,1
315,1747,45:39,45:59,74,Portland Thorns,Dribbles (Unsuccessful actions),1st half,92.4,57.0,null
316,1748,45:41,46:01,172,OL Reign,recovery,1st half,10.5,9.1,null
317,1752,45:46,46:06,150,Portland Thorns,recovery,1st half,58.0,67.8,null
318,1765,46:03,46:23,219,OL Reign,challenge,1st half,47.9,3.1,0
319,1766,46:03,46:23,121,Portland Thorns,challenge,1st half,57.1,64.9,1
320,1771,46:05,46:25,16,Portland Thorns,recovery,1st half,60.7,62.7,null
321,1772,46:07,46:27,89,Portland Thorns,challenge,1st half,72.0,66.3,0
322,1773,46:07,46:27,166,OL Reign,challenge,1st half,33.0,1.7,1
323,1774,46:07,46:27,166,OL Reign,tackle,1st half,33.0,1.7,1
324,1775,46:07,46:27,89,Portland Thorns,Dribbles (Unsuccessful actions),1st half,72.0,66.3,null
325,1787,46:21,46:41,121,Portland Thorns,recovery,1st half,68.0,67.0,null
326,1802,46:34,46:54,243,OL Reign,recovery,1st half,1.1,41.2,null
327,1811,46:53,47:13,16,Portland Thorns,challenge,1st half,42.6,17.2,1
328,1812,46:53,47:13,72,OL Reign,challenge,1st half,62.4,50.8,0
329,1820,45:01,45:21,8,OL Reign,recovery,2nd half,33.0,49.1,null
330,1827,45:04,45:24,30,Portland Thorns,recovery,2nd half,49.6,6.9,null
331,1836,45:09,45:29,30,Portland Thorns,recovery,2nd half,33.6,1.9,null
332,1866,46:04,46:24,135,OL Reign,challenge,2nd half,102.3,28.5,0
333,1870,46:04,46:24,217,Portland Thorns,challenge,2nd half,2.7,39.5,1
334,1874,46:31,46:51,172,OL Reign,recovery,2nd half,33.6,16.3,null
335,1879,46:34,46:54,89,Portland Thorns,recovery,2nd half,69.1,53.9,null
336,1881,46:35,46:55,233,OL Reign,foul,2nd half,32.1,13.2,null
337,1894,47:54,48:14,166,OL Reign,challenge,2nd half,35.3,6.5,0
338,1896,47:54,48:14,121,Portland Thorns,challenge,2nd half,69.7,61.5,1
339,1901,48:02,48:22,172,OL Reign,recovery,2nd half,20.2,2.2,null
340,1906,48:04,48:24,16,Portland Thorns,recovery,2nd half,61.7,54.8,null
341,1914,48:09,48:29,135,OL Reign,recovery,2nd half,29.8,6.7,null
342,1924,48:14,48:34,213,Portland Thorns,recovery,2nd half,69.5,63.2,null
343,1928,48:17,48:37,166,OL Reign,foul,2nd half,27.5,3.8,null
344,1954,49:17,49:37,219,OL Reign,dribble,2nd half,46.6,3.1,1
